Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1578410416_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T14:44:04.032,1000,140316.83,122.656,140353.98,122.593,Classic,20.68796
N1578411831_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T15:07:39.022,1000,140314.25,122.801,140350.16,122.697,Classic,20.78565
N1578414095_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T15:45:23.006,1000,140308.06,121.961,140348.38,121.858,Classic,20.92442
N1578420038_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T17:24:25.964,1000,140343.03,122.44,140372.82,122.359,Complex,21.3292
N1578424283_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T18:35:10.934,1000,140392.95,122.242,140371.7,123.075,Classic,21.60748
N1578424849_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T18:44:36.930,1000,140514.04,121.556,140338.97,121.693,Extended Object,21.63446
N1578427113_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T19:22:20.914,1000,140295.46,123.386,140353.15,123.307,Classic,21.81151
N1578427679_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T19:31:46.910,1000,140281.91,122.298,140333.04,122.239,Classic,21.83074
N1578439565_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T22:49:52.826,1000,140339.67,125.691,140378.3,124.902,Classic - bright head,22.66246
N1578439848_1.IMG,ISS_055RI_LPMRDFMOV001_PRIME,2008-007T22:54:35.824,1000,140363.52,125.579,140352.28,125.879,Classic,22.6792
N1579792956_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T14:46:14.148,1200,140191.03,143.439,140210.26,143.429,Complex,42.69049
N1579819881_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T22:14:58.958,1200,140178.96,142.768,140208.56,142.742,Classic,44.62742
N1579819522a_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T22:08:59.961,1200,140239.05,142.816,140209.56,142.842,Classic,44.6198
N1579819522b_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T22:08:59.961,1200,140239.99,142.868,140220.71,142.902,Classic,44.6198
N1579819522c_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T22:08:59.961,1200,140232.85,142.996,140223.52,143.022,Classic,44.6198
N1579819522d_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T22:08:59.961,1200,140204.98,143.364,140223.9,143.339,Classic,44.6198
N1579821676_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T22:44:53.945,1200,140186.88,145.876,140206.7,145.876,Complex,44.85712
N1579823471_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-023T23:14:48.933,1200,140184.28,145.453,140210.03,145.419,Classic,44.98033
N1579831010_1.IMG,ISS_057RF_FMOVIE001_VIMS,2008-024T01:20:27.879,1200,140178.54,144.957,140214.42,144.906,Classic,45.54138
N1581948682_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T13:34:44.918,1200,140569.88,313.806,140538.98,313.856,Complex,43.41344
N1581955370_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T15:26:12.871,1200,140589.43,313.26,140560.55,313.273,Classic,43.95568
N1581963312_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T17:38:34.815,1200,140571.37,313.907,140543.65,313.913,Classic,44.55648
N1581965820_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T18:20:22.797,1200,140602.32,314.441,140571.8,314.481,Complex,44.73352
N1581967910a_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T18:55:12.782,1200,140624.19,314.925,140559.07,314.958,Classic,44.88043
N1581967910b_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T18:55:12.782,1201,140525.25,315.931,140537.71,315.83,Classic,44.83569
N1581969164_1.IMG,ISS_059RF_FMOVIE001_VIMS,2008-048T19:16:06.773,1200,140569.34,314.074,140541.08,314.087,Complex,45.02403
N1582566906_1.IMG,ISS_059RF_FMOVIE002_VIMS,2008-055T17:18:24.774,820,140469.78,289.822,140498.46,289.71,Classic,24.72909
N1582552048_1.IMG,ISS_059RF_FMOVIE002_VIMS,2008-055T13:10:46.879,820,140467.66,291.866,140521.81,290.471,Classic,23.85309
N1582588319_1.IMG,ISS_059RF_FMOVIE002_VIMS,2008-055T23:15:17.622,820,140520.75,290.073,140503.27,290.216,Classic,26.01361
N1582589630_1.IMG,ISS_059RF_FMOVIE002_VIMS,2008-055T23:37:08.613,820,140470.72,291.101,140513.16,291.05,Classic,26.06774
N1582599244_1.IMG,ISS_059RF_FMOVIE002_VIMS,2008-056T02:17:22.545,820,140456.24,288.365,140492.02,288.291,Classic,26.73376
N1584274022_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T11:30:08.728,820,139988.44,116.122,-,-,Extended Object,13.01283
N1584280862_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T13:24:08.680,820,0,0,140149.25,115.443,Complex,13.59874
N1584282002_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T13:43:08.672,820,140116.15,116.081,-,-,Extended Object,13.70443
N1584283332_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T14:05:18.663,820,140205.64,113.962,140181.6,114.063,Classic,13.79888
N1584286942_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T15:05:28.637,820,140009.03,115.75,140034.75,115.654,Classic,14.13081
N1584288082_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T15:24:28.629,820,140125,116.455,140158.62,116.517,Complex,14.23848
N1584289412_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T15:46:38.620,820,140197.47,115.456,140153.93,116.163,Classic,14.3425
N1584294542_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T17:12:08.583,820,140176.75,116.699,140145.7,116.843,Classic,14.80332
N1584316772_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T23:22:38.426,820,0,0,140166.33,117.655,Complex,16.73718
N1584316392_1.IMG,ISS_061RI_LPMRDFMOV001_PRIME,2008-075T23:16:18.429,820,140183.52,116.745,140148.94,117.733,Classic,16.69106
N1586514693_1.IMG,ISS_064RF_HIRESFRNG001_PRIME,2008-101T09:54:23.692,1200,139909.4,265.749,139896.05,265.755,Classic,87.98279
N1589096022_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T06:56:06.100,18000,139929.08,0.537,139905.47,0.539,Extended Object,79.50789
N1589115538_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T12:21:21.962,18000,140260.05,249.293,140272.64,249.295,Extended Object,83.42137
N1589117017_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T12:46:00.952,18000,140345.32,239.726,140334.35,239.743,Classic,82.96134
N1589117591a_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T12:55:34.948,18000,140376.03,235.67,140338.23,235.762,Classic,82.69962
N1589117591b_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T12:55:34.948,18001,140383.99,235.427,140338.59,235.423,Extended Object,82.73196
N1589117847_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T12:59:50.946,18000,140352.74,233.906,140327.44,233.904,Extended Object,82.5541
N1589117976_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T13:01:59.945,18000,140318.58,233.499,140335.4,233.5,Complex,82.42268
N1589118555_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T13:11:38.941,18000,140401.87,229.87,140357.99,229.871,Complex,82.0013
N1589118812_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T13:15:55.939,18000,140369.21,228.58,140342.19,228.592,Complex,81.76003
N1589119327a_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T13:24:30.935,17999,140409.51,224.899,140385.57,224.915,Complex,81.32098
N1589119327b_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T13:24:30.935,18000,140401.87,229.87,140357.99,229.871,Extended Object,82.0013
N1589120162_1.IMG,ISS_067RI_AZSCAN001_PRIME,2008-131T13:38:25.929,18000,140355.36,220.257,140397.69,220.258,Extended Object,80.40081
N1589598184_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T02:25:32.953,1200,140390.78,130.373,140445.84,130.251,Classic,45.79486
N1589609758_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T05:38:26.871,1200,140427.85,133.046,140449.24,133.038,Complex,48.15831
N1589614902a_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T05:38:26.871,1200,140460.31,134.496,140449.9,134.5,Classic,49.29156
N1589614902b_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T07:04:10.835,1200,140428.17,134.319,140440.79,134.31,Classic,49.27576
N1589614902c_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T07:04:10.835,1200,140418.36,133.891,140434.14,133.885,Classic,49.27576
N1589616188_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T07:25:36.826,1200,140409.1,136.287,140433.18,136.256,Complex,49.70468
N1589614902d_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T07:04:10.835,1200,140134.39,134.898,140190.47,133.785,Classic - bright head,49.32026
N1589620046a_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T08:29:54.799,1200,140399.67,137.855,140448.1,137.758,Classic,50.6394
N1589620046b_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T08:29:54.799,1200,140512.93,133.908,140449.31,133.914,Complex,50.6394
N1589625190_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T09:55:38.762,1200,140418.06,136.842,140441.99,136.825,Classic,51.65313
N1589626476_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T10:17:04.753,1200,140420.11,137.628,140453.44,137.556,Classic,52.00882
N1589638050a_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T13:29:58.672,1200,140498.11,139.027,140484.41,139.039,Classic,54.85207
N1589638050b_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T13:29:58.672,1200,140496.51,138.955,140478.62,138.976,Classic,54.85207
N1589639336_1.IMG,ISS_068RF_FMOVIE001_VIMS,2008-137T13:51:24.662,1200,140508.09,140.955,140478.53,140.969,Classic,55.36556
N1590848295_1.IMG,ISS_070OT_RETMDRESA020_PRIME,2008-151T13:40:35.444,560,140330.76,158.323,140371.62,158.195,Classic,31.66663
N1593917852_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T02:19:30.293,1500,140385.81,119.445,139906.77,119.435,Extended Object,29.18812
N1593921457_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T03:19:35.268,1500,139870.05,120.679,139902.67,120.664,Classic,29.71169
N1593923002_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T03:45:20.257,1500,139857.05,121.505,139901.75,121.483,Extended Object,29.95315
N1593929182_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T05:28:20.213,1500,139860.62,119.687,139900.79,119.687,Extended Object,30.67679
N1593933817_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T06:45:35.181,1500,139873.38,121.775,139909.87,121.743,Classic - bright head,31.41501
N1593940512_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T08:37:10.133,1500,139878.45,120.791,139902.54,120.73,Classic,32.29957
N1593942057_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T09:02:55.122,1500,139884.7,121.4,139916.85,121.393,Extended Object,32.55484
N1593943602a_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T09:28:40.111,1500,139884.89,123.743,139917.05,123.742,Extended Object,32.91509
N1593943602b_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T09:28:40.111,1500,139926.71,122.474,139902.06,123.06,Classic,34.14912
N1593952357_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T11:54:35.050,1500,139874.79,123.176,139900.05,123.176,Extended Object,34.1929
N1593952872_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T12:03:10.046,1500,139884.07,123.515,139903.56,123.521,Complex,34.29371
N1593964202_1.IMG,ISS_075RF_FMOVIE002_VIMS,2008-187T15:11:59.966,1500,139872.82,122.069,139910.07,122.069,Extended Object,35.33678
N1595325557_1.IMG,ISS_077RF_HIRESFRNG002_PRIME,2008-203T09:21:05.448,1500,140530.8,355.973,140519.22,355.972,Extended Object,101.7727
N1595325677a_1.IMG,ISS_077RF_HIRESFRNG002_PRIME,2008-203T09:23:05.447,1500,140557.81,355.924,140544.44,355.951,Complex,102.26834
N1595325677b_1.IMG,ISS_077RF_HIRESFRNG002_PRIME,2008-203T09:23:05.447,1500,140552.71,356.01,140540.85,356.031,Complex,102.22705
N1595325997_1.IMG,ISS_077RF_HIRESFRNG002_PRIME,2008-203T09:28:25.445,1500,140546.28,355.985,140532.28,355.988,Complex,103.59587
N1595326037_1.IMG,ISS_077RF_HIRESFRNG002_PRIME,2008-203T09:29:05.444,1500,140551.33,356.029,140532.61,356.032,Extended Object,103.74433
N1595329125_1.IMG,ISS_077RF_HIRESFRNG002_PRIME,2008-203T10:20:33.763,820,140392.08,356.009,140391.34,356.012,Complex,123.17755
N1595501977_1.IMG,ISS_077OT_RETARG003_PRIME,2008-205T10:21:24.905,100,140191.43,101.051,140171.69,101.069,Classic,13.36078
N1595503327_1.IMG,ISS_077OT_RETARG003_PRIME,2008-205T10:43:54.896,100,140211.56,100.272,140190.87,100.291,Complex,13.3195
N1595504452_1.IMG,ISS_077OT_RETARG003_PRIME,2008-205T11:02:39.888,100,140157.23,103.145,140168.22,103.105,Classic,13.23588
N1596423029_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T02:12:09.830,1200,139810.24,216.495,139822.16,216.481,Classic,56.33205
N1596427925_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T03:33:45.780,1200,139896.26,216.165,139895.14,216.127,Complex,57.96718
N1596428660a_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T03:46:00.775,1200,139877.06,217.015,139889.58,217.029,Classic,58.21606
N1596428660b_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T03:46:00.775,1200,139895.52,217.184,139889.65,217.183,Classic,58.21646
N1596429640a_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:02:20.768,1200,139914.41,216.421,139892.4,216.435,Classic,58.56022
N1596429640b_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:02:20.768,1200,139914.84,216.887,139887.56,216.903,Classic,58.5586
N1596429640c_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:02:20.768,1200,0,0,139896.57,217.419,Complex,58.55503
N1596430130_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:10:30.765,1200,139881.61,216.655,139892.54,216.649,Complex,58.72885
N1596431600_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:35:00.754,1200,139879.6,216.985,139881.89,217.01,Complex,59.24722
N1596432090_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:43:10.751,1200,139847.54,216.671,139834.78,217.154,Complex,59.41846
N1596433070_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T04:59:30.744,1200,139891.5,216.884,139870.22,216.892,Classic,59.77744
N1596435765_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T05:44:25.725,1200,139889.07,216.13,139910.5,216.129,Complex,60.77589
N1596436255_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T05:52:35.721,1200,139867.75,216.501,139880.83,216.526,Classic,60.95694
N1596437725_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T06:17:05.711,1200,139861.37,216.417,139887.3,216.413,Complex,61.51687
N1596439195_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T06:41:35.700,1200,139868.31,216.679,139892.34,216.662,Classic,62.0856
N1596447770_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T09:04:30.640,1200,139867.29,216.216,139896.51,216.184,Classic - bright head,65.63931
N1596451690a_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T10:09:50.612,1200,139882.47,216.926,139895.3,216.921,Classic,67.39638
N1596451690b_1.IMG,ISS_079RF_FRINGMRDF002_PRIME,2008-216T10:09:50.612,1200,139887.81,216.981,139895.75,216.974,Classic,67.39638
N1596682272a_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T02:12:50.983,1200,140137.05,149.698,140102.02,149.696,Extended Object,27.36661
N1596682272b_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T02:12:50.983,1200,140089,150.955,140095.88,150.936,Complex,27.36661
N1596689037a_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T04:05:35.935,1200,140069.7,150.653,140098.7,150.651,Complex,25.93287
N1596689037b_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T04:05:35.935,1200,140073.8,150.813,140093.33,150.819,Complex,25.95243
N1596689242a_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T04:09:00.933,1200,140007.29,150.838,140026.95,150.846,Classic,25.91218
N1596689242b_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T04:09:00.933,1200,140009.59,150.918,140029.19,150.924,Extended Object,25.91218
N1596690062_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T04:22:40.928,1200,140000,150.633,140009.98,150.647,Complex,25.70791
N1596710562_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T10:04:20.783,1200,140070.18,150.98,140109.36,150.993,Classic,21.8304
N1596711587_1.IMG,ISS_079RF_FRINGMRLF002_PRIME,2008-219T10:21:25.776,1200,140084.68,150.561,140106.33,150.545,Complex,21.61424
N1597394201_1.IMG,ISS_080RF_FMOVIE005_PRIME,2008-227T07:58:15.391,320,140490.56,106.688,140466.36,107.226,Classic,14.63985
N1597396028_1.IMG,ISS_080RF_FMOVIE005_PRIME,2008-227T08:28:42.379,320,140546.25,107.328,140448.06,107.486,Classic - bright head,14.53838
N1597402118_1.IMG,ISS_080RF_FMOVIE005_PRIME,2008-227T10:10:12.336,320,140424.85,109.58,140478.56,109.351,Classic - bright head,14.25704
N1597886915_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T00:50:05.319,1500,140565.46,106.041,140537.31,106.042,Extended Object,46.82882
N1597890485a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T01:49:35.294,1500,140489.94,106.895,140506.12,106.894,Complex,45.06881
N1597890485b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T01:49:35.294,1500,140492.54,106.553,140502.43,106.555,Complex,45.01486
N1597892375_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T02:21:05.281,1500,140486.28,106.331,140521.03,106.334,Extended Object,44.02722
N1597892795_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T02:28:05.278,1500,140472.46,105.819,140503.28,105.765,Classic - bright head,43.74459
N1597893425_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T02:38:35.273,1500,140568.41,105.688,140532.04,105.763,Classic,43.41486
N1597894685_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T02:59:35.265,1500,140474.39,105.937,140519.75,105.881,Classic,42.85207
N1597897625_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T03:48:35.244,1500,140485.61,105.921,140508.11,105.92,Extended Object,41.49553
N1597898045_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T03:55:35.241,1500,140555.14,105.857,140511.89,105.851,Extended Object,41.29761
N1597899305_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T04:16:35.232,1500,140484.67,106.534,140517.99,106.526,Extended Object,40.83364
N1597901825a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T04:58:35.214,1500,140543.54,106.171,140527.19,106.22,Classic,39.70907
N1597901825b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T04:58:35.214,1500,140504.44,106.689,140525.85,106.691,Extended Object,39.77544
N1597902245a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:05:35.211,1500,140476.44,106.354,140532.01,106.185,Classic,39.51757
N1597902245b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:05:35.211,1500,140487.55,106.558,140531.17,106.333,Classic,39.51757
N1597902245c_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:05:35.211,1500,140483.43,106.718,140528.25,106.463,Classic,39.51757
N1597902665_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:12:35.208,1500,140628.63,106.491,140534.97,106.493,Extended Object,39.39687
N1597903295_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:23:05.204,1500,140597.32,106.247,140584.72,106.246,Extended Object,39.11033
N1597903925_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:33:35.199,1500,140529.89,105.688,140513.27,105.691,Extended Object,38.79145
N1597904975a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:51:05.192,1500,140543.02,106.571,140525.26,106.521,Classic,38.47591
N1597904975b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T05:51:05.192,1500,140549.39,106.31,140522.74,106.427,Classic,38.44496
N1597905815a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:05:05.186,1500,140503.97,106.443,140529.12,106.393,Classic,38.13165
N1597905815b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:05:05.186,1500,140488.11,106.369,140530.54,106.369,Extended Object,38.12374
N1597906445a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:15:35.181,1500,140558.25,105.903,140536.65,106.029,Classic,37.823
N1597906445b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:15:35.181,1500,140481,106.401,140503.63,106.397,Extended Object,37.64007
N1597907075_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:26:05.177,1500,140492.33,104.679,140509.59,104.676,Extended Object,37.44933
N1597907285a_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:29:35.176,1500,140441.87,107.418,140497.64,107.42,Extended Object,37.52393
N1597907285b_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:29:35.176,1500,140484.91,106.521,140506.78,106.391,Classic,37.52393
N1597907285c_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:29:35.176,1500,140484.91,106.521,140506.58,106.342,Extended Object,37.52393
N1597907705_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T06:36:35.173,1500,140541.23,105.268,140506.69,105.289,Classic,37.27294
N1597910645_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T07:25:35.152,1500,140472.81,106.365,140510.91,106.367,Extended Object,36.30693
N1597910855_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T07:29:05.150,1500,140556.44,106.36,140537.83,106.54,Classic,36.2271
N1597916735_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T09:07:05.109,1500,140474.17,106.251,140525.59,106.241,Extended Object,34.19016
N1597916945_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T09:10:35.107,1500,140475.24,106.195,140482.38,106.187,Complex,34.11566
N1597919045_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T09:45:35.092,1500,140499.89,107.209,140503.74,107.211,Complex,33.5254
N1597919255_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T09:49:05.091,1500,140566.4,104.529,140531.01,104.531,Extended Object,33.21995
N1597921145_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T10:20:35.078,1500,140494.76,106.828,140536.57,106.738,Classic - bright head,32.82828
N1597921565_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T10:27:35.075,1500,140487.45,106.52,140540.84,106.522,Extended Object,32.67187
N1597921775_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T10:31:05.073,1500,140579.69,107.086,140536.46,107.085,Extended Object,32.65192
N1597933115_1.IMG,ISS_081RI_FMOVIE106_VIMS,2008-233T13:40:04.993,1500,140517.88,108.237,140507.04,108.236,Complex,29.49366
N1598806665_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T16:19:09.281,820,140585.83,110.634,140545.66,110.659,Extended Object,20.82228
N1598808971_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T16:57:35.250,820,140604.39,113.774,140559.8,113.85,Classic,21.1308
N1598811701_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T17:43:05.231,820,140530.86,117.956,140561.31,117.967,Extended Object,21.53554
N1598811911_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T17:46:35.229,820,140506.81,114.353,140550.74,114.158,Complex,21.46175
N1598812121_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T17:50:05.228,820,140668.98,110.729,140556.45,110.751,Extended Object,21.39631
N1598818001_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T19:28:05.187,820,140577.99,119.138,140528.31,119.14,Extended Object,22.26777
N1598818841_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T19:42:05.181,820,140575.64,117.533,140539.65,117.646,Classic,22.31285
N1598819051a_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T19:45:35.179,820,140503.78,112.534,140535.63,112.58,Classic,22.19862
N1598819051b_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T19:45:35.179,820,140507.93,112.819,140543.03,112.831,Extended Object,22.20584
N1598829341_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T22:37:05.108,820,140596.59,115.523,140562.18,115.615,Classic,23.46094
N1598829971_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-243T22:47:35.103,820,140595.12,115.664,140569.75,115.826,Classic,23.53979
N1598839211_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-244T01:21:35.039,820,140530.75,116.163,140559.13,116.173,Extended Object,24.67416
N1598840681_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-244T01:46:05.029,820,140517.44,114.022,140527.9,114.068,Complex,24.78233
N1598841731_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-244T02:03:35.021,820,140561.17,116.004,140533.02,116.031,Extended Object,24.9809
N1598841941_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-244T02:07:05.020,820,140570.28,116.104,140549.28,116.131,Complex,25.01056
N1598850551_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-244T04:30:34.960,820,140603.38,116.322,140568.19,116.355,Classic,26.11568
N1598851181_1.IMG,ISS_083RI_FMOVIE109_VIMS,2008-244T04:41:04.955,820,140543.66,115.167,140554.36,114.897,Classic,26.15385
N1600213404_1.IMG,ISS_085RF_FMOVIE003_PRIME,2008-259T23:04:38.119,1500,140500.96,128.34,140547.01,128.339,Extended Object,41.43648
N1600213830_1.IMG,ISS_085RF_FMOVIE003_PRIME,2008-259T23:11:44.116,1500,140558.62,128.959,140518.01,128.991,Classic,41.58282
N1600214895_1.IMG,ISS_085RF_FMOVIE003_PRIME,2008-259T23:29:29.109,1500,140498.23,127.494,140525.06,127.474,Classic,41.68797
N1600219794_1.IMG,ISS_085RF_FMOVIE003_PRIME,2008-260T00:51:08.075,1500,140674.98,128.013,140520.33,128.362,Extended Object,42.85847
