Image,Observation,Date,Exposure,Tip_Radius,Tip_Longitude,Base_Radius,Base_Longitude,Class,Phase
N1537898220_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T17:25:10.880,460,139975.69,137.447,139985.97,137.442,Classic,38.8096
N1537898708_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T17:33:18.917,380,140020.1,137.298,139995.04,137.31,Complex,37.66725
N1537899083_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T17:39:33.915,380,139986.95,137.161,139978.98,137.166,Complex,36.86891
N1537899854_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T17:52:24.910,380,139992.89,137.079,139996.5,137.048,Complex,35.62097
N1537900808_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T18:08:18.934,320,140002.52,136.5,140010.42,136.501,Extended Object,34.54404
N1537900950_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T18:10:40.933,320,139987.05,136.41,140003.08,136.389,Classic,34.44357
N1537906905_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T19:49:55.945,220,140050.44,122.278,140056.5,122.281,Complex,40.11196
N1537910819_1.IMG,ISS_029RI_AZSCNLOPH001_PRIME,2006-268T20:55:09.955,150,140117.54,91.43,140262,91.38,Extended Object,41.15539
N1538184238_1.IMG,ISS_029RF_FMOVIE001_VIMS,2006-272T00:52:06.945,680,140147.22,267.117,140108.38,267.147,Classic,159.56179
N1538204682_1.IMG,ISS_029RF_FMOVIE001_VIMS,2006-272T06:32:50.814,680,140364.82,270.271,140170.04,270.368,Extended Object,160.88788
N1538283887_1.IMG,ISS_029RF_FMOVIE002_VIMS,2006-273T04:32:55.309,680,140244.39,82.823,140346.82,82.805,Extended Object,159.86904
N1541029450_1.IMG,ISS_031RF_FMOVIE001_VIMS,2006-304T23:12:01.027,220,140583.48,96.975,140549.26,97.143,Complex,157.78708
N1541035680_1.IMG,ISS_031RF_FMOVIE001_VIMS,2006-305T00:55:50.987,220,140537,95.413,140555.18,95.427,Extended Object,158.18668
N1541044580_1.IMG,ISS_031RF_FMOVIE001_VIMS,2006-305T03:24:10.930,220,140516.92,95.853,140543.47,95.774,Classic,158.85068
N1541050365_1.IMG,ISS_031RF_FMOVIE001_VIMS,2006-305T05:00:35.913,180,140584.9,97.042,140545.24,97.056,Extended Object,159.36856
N1541111925_1.IMG,ISS_031RF_FMOVIE002_VIMS,2006-305T22:06:35.521,180,0,0,139901.65,293,Complex,159.94995
N1541116275_1.IMG,ISS_031RF_FMOVIE002_VIMS,2006-305T23:19:05.493,180,139845.36,295.897,139894.43,295.857,Classic,159.9356
N1541118015_1.IMG,ISS_031RF_FMOVIE002_VIMS,2006-305T23:48:05.482,180,139850.18,296.857,139885.14,296.648,Classic,159.9365
N1541118885_1.IMG,ISS_031RF_FMOVIE002_VIMS,2006-306T00:02:35.476,180,139930.97,295.834,139892.34,295.891,Complex,159.98237
N1541374579_1.IMG,ISS_032RI_WN50209001_PRIME,2006-308T23:04:06.034,3800,139895.54,118.496,140575.05,118.545,Extended Object,163.3858
N1542050711_1.IMG,ISS_032RF_FMOVIE001_VIMS,2006-316T18:52:55.489,260,140354.06,93.667,140469.28,93.612,Classic,156.13318
N1542057386_1.IMG,ISS_032RF_FMOVIE001_VIMS,2006-316T20:44:10.447,260,140327.02,93.992,140459.02,93.861,Classic - bright head,156.71796
N1542058721_1.IMG,ISS_032RF_FMOVIE001_VIMS,2006-316T21:06:25.438,260,140503.8,93.739,140463.41,93.77,Classic,156.81401
N1542064061_1.IMG,ISS_032RF_FMOVIE001_VIMS,2006-316T22:35:25.424,220,0,0,140477.62,94.993,Complex,157.31664
N1542076966_1.IMG,ISS_032RF_FMOVIE001_VIMS,2006-317T02:10:30.342,220,139874.96,95.149,140486.12,95.185,Extended Object,158.34688
N1543174303_1.IMG,ISS_033RF_FMOVIE001_VIMS,2006-329T18:59:20.168,560,140397.4,293.003,140031.38,293.048,Extended Object,160.02514
N1543216384_1.IMG,ISS_033RF_FMOVIE001_VIMS,2006-330T06:40:40.900,560,140342.62,292.681,140030.75,292.69,Extended Object,160.79331
N1545564642_1.IMG,ISS_036RF_FMOVIE001_VIMS,2006-357T10:58:04.045,560,140023.47,288.282,140480.03,288.384,Extended Object,158.84858
N1545576684_1.IMG,ISS_036RF_FMOVIE001_VIMS,2006-357T14:18:45.968,560,140553.48,287.424,140447.25,287.432,Extended Object,159.43302
N1545580252_1.IMG,ISS_036RF_FMOVIE001_VIMS,2006-357T15:18:13.946,560,140057.89,287.11,140435.62,287.112,Extended Object,159.60664
N1545589618_1.IMG,ISS_036RF_FMOVIE001_VIMS,2006-357T17:54:19.886,560,140403.42,288.641,140461.68,288.607,Classic,159.94997
N1545608350_1.IMG,ISS_036RF_FMOVIE001_VIMS,2006-357T23:06:31.767,560,140492.9,288.628,140468.48,288.655,Extended Object,160.70411
N1546703299_1.IMG,ISS_036RF_FMOVIE002_VIMS,2007-005T15:15:32.793,2600,140570.67,249.614,140508.02,250.024,Complex,131.48018
N1546704045_1.IMG,ISS_036RF_FMOVIE002_VIMS,2007-005T15:27:58.789,2600,140587.55,250.652,140495.58,250.662,Complex,131.50574
N1546734631_1.IMG,ISS_036RF_FMOVIE002_VIMS,2007-005T23:57:44.594,2600,0,0,140358.79,255.396,Complex,134.33755
N1549804474_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T12:41:28.147,2600,140066.15,242.212,140019.41,242.285,Classic - bright head,125.81807
N1549805288_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T12:55:02.142,2600,140182.77,241.755,139996.78,241.761,Extended Object,125.9397
N1549808137_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T13:42:31.124,2600,139982.85,244.408,140003.94,244.384,Classic,126.17453
N1549820347_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T17:06:01.047,2600,140236.64,247.468,140031.31,247.472,Extended Object,127.54504
N1549821568_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T17:26:22.039,2600,139965.93,247.649,140007.78,247.61,Classic,127.67977
N1549830522_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T19:55:35.982,2600,140230.56,248.355,140014.65,248.358,Extended Object,128.75131
N1549833778_1.IMG,ISS_039RF_FMOVIE002_VIMS,2007-041T20:49:51.962,2600,140064.02,250.359,140043.51,250.359,Complex,129.05113
